Year,Month,Year_Month,Total_Transactions,Total_Revenue,Avg_Transaction_Value
2009,01,2009-01,6,35.64,5.94
2009,02,2009-02,7,37.62,5.37
2009,03,2009-03,7,37.62,5.37
2009,04,2009-04,7,37.62,5.37
2009,05,2009-05,7,37.62,5.37
2009,06,2009-06,7,37.62,5.37
2009,07,2009-07,7,37.62,5.37
2009,08,2009-08,7,37.62,5.37
2009,09,2009-09,7,37.62,5.37
2009,10,2009-10,7,37.62,5.37
2009,11,2009-11,7,37.62,5.37
2009,12,2009-12,7,37.62,5.37
2010,01,2010-01,7,52.62,7.52
2010,02,2010-02,7,46.62,6.66
2010,03,2010-03,7,44.62,6.37
2010,04,2010-04,7,37.62,5.37
2010,05,2010-05,7,37.62,5.37
2010,06,2010-06,7,37.62,5.37
2010,07,2010-07,7,37.62,5.37
2010,08,2010-08,7,37.62,5.37
2010,09,2010-09,6,36.63,6.11
2010,10,2010-10,7,37.62,5.37
2010,11,2010-11,7,37.62,5.37
2010,12,2010-12,7,37.62,5.37
2011,01,2011-01,7,37.62,5.37
2011,02,2011-02,7,37.62,5.37
2011,03,2011-03,7,37.62,5.37
2011,04,2011-04,7,51.62,7.37
2011,05,2011-05,7,42.62,6.09
2011,06,2011-06,7,50.62,7.23
2011,07,2011-07,7,37.62,5.37
2011,08,2011-08,7,37.62,5.37
2011,09,2011-09,7,37.62,5.37
2011,10,2011-10,7,37.62,5.37
2011,11,2011-11,6,23.76,3.96
2011,12,2011-12,7,37.62,5.37
2012,01,2012-01,7,37.62,5.37
2012,02,2012-02,7,37.62,5.37
2012,03,2012-03,7,37.62,5.37
2012,04,2012-04,7,37.62,5.37
2012,05,2012-05,7,37.62,5.37
2012,06,2012-06,7,37.62,5.37
2012,07,2012-07,7,39.62,5.66
2012,08,2012-08,7,47.62,6.8
2012,09,2012-09,6,46.71,7.79
2012,10,2012-10,7,42.62,6.09
2012,11,2012-11,7,37.62,5.37
2012,12,2012-12,7,37.62,5.37
2013,01,2013-01,7,37.62,5.37
2013,02,2013-02,5,27.72,5.54
2013,03,2013-03,7,37.62,5.37
2013,04,2013-04,5,33.66,6.73
2013,05,2013-05,7,37.62,5.37
2013,06,2013-06,7,37.62,5.37
2013,07,2013-07,7,37.62,5.37
2013,08,2013-08,7,37.62,5.37
2013,09,2013-09,7,37.62,5.37
2013,10,2013-10,7,37.62,5.37
2013,11,2013-11,7,49.62,7.09
2013,12,2013-12,7,38.62,5.52
