Antecedent,Consequence,Frequency,Support,Confidence,Lift
"Heroes, Season 1","Battlestar Galactica, Season 3",24,1.071,1.846,3.4450591868245
"Chronicle, Vol. 2","Chronicle, Vol. 1",23,1.027,1.211,1.50632450952783
"Lost, Season 2","Lost, Season 1",23,1.027,1.769,3.97015617751662
International Superhits,Heart of the Night,22,0.982,1.222,2.48756218905473
Speak of the Devil,Instant Karma: The Amnesty International Campaign to Save Darfur,21,0.938,3.0,4.19720603896511
Volume Dois,"Battlestar Galactica, Season 3",21,0.938,1.75,3.26492537313433
Roda De Funk,My Way: The Best Of Frank Sinatra [Disc 1],20,0.893,2.5,5.60852143548002
Angel Dust,Album Of The Year,19,0.848,1.462,2.52080856123662
Da Lama Ao Caos,Afrociberdelia,19,0.848,2.111,2.9544155970846
"Lost, Season 3","Heroes, Season 1",19,0.848,1.727,2.97773720064611
Use Your Illusion II,Blue Moods,19,0.848,1.9,4.72971465542244
Cássia Eller - Sem Limite [Disc 1],Cássia Eller - Coleção Sem Limite [Disc 2],18,0.804,2.0,3.73134328358209
"Lost, Season 2",B-Sides 1980-1990,18,0.804,1.385,2.82323196853712
By The Way,Blood Sugar Sex Magik,17,0.759,2.125,4.76692919320194
Into The Light,International Superhits,17,0.759,2.125,2.644341318617
"Lost, Season 2",Achtung Baby,17,0.759,1.308,4.88291302110139
The Singles,Beyond Good And Evil,17,0.759,1.7,5.43704064528145
Virtual XI,Sex Machine,17,0.759,2.429,4.52410471603643
Volume Dois,Acústico,17,0.759,1.417,1.44200079034562
Appetite for Destruction,American Idiot,16,0.714,1.778,2.65092448206728
Cássia Eller - Coleção Sem Limite [Disc 2],"Chronicle, Vol. 2",16,0.714,1.333,1.57086032103633
Da Lama Ao Caos,Acústico MTV [Live],16,0.714,1.778,4.41820747011213
King For A Day Fool For A Lifetime,Angel Dust,16,0.714,1.778,3.06227483273289
Lulu Santos - RCA 100 Anos De Música - Álbum 01,Barulhinho Bom,16,0.714,2.0,5.60224089635854
Serie Sem Limite (Disc 2),Acústico,16,0.714,1.333,1.35650667234094
Californication,Blood Sugar Sex Magik,15,0.67,1.667,3.73692077727952
Greatest Hits,Ao Vivo [IMPORT],15,0.67,0.577,1.43554407120299
Mais Do Mesmo,A TempestadeTempestade Ou O Livro Dos Dias,15,0.67,1.875,4.66853408029879
Raul Seixas,Cesta Básica,15,0.67,1.5,4.79949569478073
Rotten Apples: Greatest Hits,A-Sides,15,0.67,1.154,1.72413793103448
The Singles,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",15,0.67,1.5,3.73692077727952
Van Halen,"The Best Of Van Halen, Vol. I",15,0.67,2.5,5.60538116591928
Vozes do MPB,"Chronicle, Vol. 1",15,0.67,1.364,1.69721656483367
Walking Into Clarksdale,Tribute,15,0.67,1.875,4.20796121139039
Cidade Negra - Hits,Acústico MTV [Live],14,0.625,2.0,4.96717689507733
"Lost, Season 3","Battlestar Galactica, Season 3",14,0.625,1.273,2.37483661124115
"Lost, Season 3","Lost, Season 1",14,0.625,1.273,2.85406373010147
Milton Nascimento Ao Vivo,Miles Ahead,14,0.625,1.75,5.59329162975094
Olodum,Acústico MTV,14,0.625,1.4,1.74296678044754
Original Soundtracks 1,Live On Two Legs [Live],14,0.625,1.556,3.86747852775921
Quanta Gente Veio Ver (Live),My Way: The Best Of Frank Sinatra [Disc 1],14,0.625,1.077,2.41611257151693
Serie Sem Limite (Disc 2),Serie Sem Limite (Disc 1),14,0.625,1.167,2.17545667186456
The Best Of R.E.M.: The IRS Years,Out Of Time,14,0.625,0.824,2.0483878368369
The Colour And The Shape,My Way: The Best Of Frank Sinatra [Disc 1],14,0.625,2.333,5.22890034134261
"The Office, Season 2",Ao Vivo [IMPORT],14,0.625,2.333,5.80121779163882
Unplugged,Faceless,14,0.625,0.56,1.56872784956276
Use Your Illusion I,Appetite for Destruction,14,0.625,0.824,2.0483878368369
Vinicius De Moraes,Ao Vivo [IMPORT],14,0.625,2.333,5.80121779163882
Garage Inc. (Disc 2),Black Album,13,0.58,1.083,2.69176505532041
Greatest Hits,A TempestadeTempestade Ou O Livro Dos Dias,13,0.58,0.5,1.24270979298169
Instant Karma: The Amnesty International Campaign to Save Darfur,"Battlestar Galactica (Classic), Season 1",13,0.58,0.813,1.01035439051242
Let There Be Rock,Big Ones,13,0.58,2.167,4.85241951676594
"Lost, Season 1",Achtung Baby,13,0.58,1.3,4.85241951676594
"Lost, Season 1","Heroes, Season 1",13,0.58,1.3,2.24215246636771
Mais Do Mesmo,Greatest Hits,13,0.58,1.625,1.399353884534
Minha História,Meus Momentos,13,0.58,1.625,4.04141756204969
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,House of Pain,13,0.58,1.857,5.19057463240887
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,"LOST, Season 4",13,0.58,1.857,5.92024007594239
The Best Of 1980-1990,Rattle And Hum,13,0.58,1.182,1.55634088158661
Tribute,Arquivo Os Paralamas Do Sucesso,13,0.58,1.3,1.94096780670638
Zooropa,War,13,0.58,1.444,2.93846450030905
Arquivo II,Acústico MTV,12,0.536,1.0,1.24378109452736
Arquivo Os Paralamas Do Sucesso,Arquivo II,12,0.536,0.8,1.49253731343284
Californication,By The Way,12,0.536,1.333,3.73482726423903
Chill: Brazil (Disc 2),Chill: Brazil (Disc 1),12,0.536,0.8,2.55591054313099
Get Born,Are You Experienced?,12,0.536,1.714,4.79680690167441
House of Pain,20th Century Masters - The Millennium Collection: The Best of Scorpions,12,0.536,1.5,6.73273793822462
Jagged Little Pill,Big Ones,12,0.536,1.5,3.36636896911231
Live [Disc 2],Live [Disc 1],12,0.536,1.714,5.47111841500883
"Lost, Season 1","Battlestar Galactica, Season 3",12,0.536,1.2,2.24215246636771
"Lost, Season 3","Lost, Season 2",12,0.536,1.091,1.88215464569141
Mais Do Mesmo,Lulu Santos - RCA 100 Anos De Música - Álbum 01,12,0.536,1.5,4.20560381015151
Meus Momentos,Into The Light,12,0.536,1.333,3.73482726423903
Mezmerize,Core,12,0.536,1.0,2.24215246636771
Minha Historia,Meus Momentos,12,0.536,0.444,1.10650069156293
Minha História,Minha Historia,12,0.536,1.5,1.2459755686507
Motley Crue Greatest Hits,From The Muddy Banks Of The Wishkah [Live],12,0.536,1.714,5.47111841500883
My Way: The Best Of Frank Sinatra [Disc 1],As Canções de Eu Tu Eles,12,0.536,1.2,5.38920951557441
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Beyond Good And Evil,12,0.536,1.333,4.25985090521832
Raul Seixas,Blood Sugar Sex Magik,12,0.536,1.2,2.69460475778721
ReLoad,Master Of Puppets,12,0.536,1.0,2.24215246636771
Seek And Shall Find: More Of The Best (1963-1981),Barulhinho Bom,12,0.536,1.2,3.36636896911231
Seek And Shall Find: More Of The Best (1963-1981),Lulu Santos - RCA 100 Anos De Música - Álbum 01,12,0.536,1.2,3.36636896911231
The Colour And The Shape,Roda De Funk,12,0.536,2.0,5.60224089635854
The Cream Of Clapton,Elis Regina-Minha História,12,0.536,0.8,1.37931034482759
The Real Thing,King For A Day Fool For A Lifetime,12,0.536,1.714,4.25985090521832
UB40 The Best Of - Volume Two [UK],Diver Down,12,0.536,1.5,4.79680690167441
Up An' Atom,Supernatural,12,0.536,0.706,2.63504611330698
Up An' Atom,The Essential Miles Davis [Disc 1],12,0.536,0.706,2.63504611330698
Voodoo Lounge,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",12,0.536,1.714,4.25985090521832
Voodoo Lounge,The Police Greatest Hits,12,0.536,1.714,5.47111841500883
Walking Into Clarksdale,Original Soundtracks 1,12,0.536,1.5,3.73482726423903
War,The Best Of 1980-1990,12,0.536,1.091,2.2233191334033
Zooropa,UB40 The Best Of - Volume Two [UK],12,0.536,1.333,3.73482726423903
Chill: Brazil (Disc 1),BBC Sessions [Disc 1] [Live],11,0.491,1.571,5.85332125315912
Contraband,Ao Vivo [IMPORT],11,0.491,1.833,4.55743669711146
Greatest Hits II,Garage Inc. (Disc 1),11,0.491,0.786,2.50990415335463
Jota Quest-1995,Are You Experienced?,11,0.491,1.833,5.13190350767173
Led Zeppelin III,Led Zeppelin II,11,0.491,1.222,3.03829113140764
Load,Kill 'Em All,11,0.491,1.0,2.03665987780041
"Lost, Season 2",All That You Can't Leave Behind,11,0.491,0.846,3.15877509006691
"Lost, Season 2",How To Dismantle An Atomic Bomb,11,0.491,0.846,1.8980980361837
Pearl Jam,Live On Two Legs [Live],11,0.491,1.833,4.55743669711146
Raul Seixas,By The Way,11,0.491,1.1,3.08374470864579
Retrospective I (1974-1980),Californication,11,0.491,1.833,4.55743669711146
Sex Machine,Emergency On Planet Earth,11,0.491,0.917,3.41807752283359
"The Best Of Van Halen, Vol. I",Diver Down,11,0.491,1.1,3.51724236736916
The Police Greatest Hits,No Security,11,0.491,1.571,5.85332125315912
