Artist_Name,TotalSales,Track_Name,Media_Type,Country,Date
The Office,3.98,Branch Closing,Protected MPEG-4 video file,USA,21/03/2010 00:00
The Office,3.98,Gay Witch Hunt,Protected MPEG-4 video file,USA,29/05/2011 00:00
Iron Maiden,2.97,Heaven Can Wait,MPEG audio file,USA,10/06/2009 00:00
Aquaman,1.99,Pilot,Protected MPEG-4 video file,Canada,11/03/2010 00:00
Aquaman,1.99,Pilot,Protected MPEG-4 video file,Portugal,01/10/2012 00:00
Battlestar Galactica,1.99,A Day In the Life,Protected MPEG-4 video file,Germany,23/04/2011 00:00
Battlestar Galactica,1.99,Collaborators,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Battlestar Galactica,1.99,"Crossroads, Pt. 1",Protected MPEG-4 video file,USA,05/08/2012 00:00
Battlestar Galactica,1.99,"Crossroads, Pt. 2",Protected MPEG-4 video file,Chile,13/01/2010 00:00
Battlestar Galactica,1.99,"Exodus, Pt. 1",Protected MPEG-4 video file,Germany,23/04/2011 00:00
Battlestar Galactica,1.99,"Exodus, Pt. 2",Protected MPEG-4 video file,USA,31/07/2012 00:00
Battlestar Galactica,1.99,Hero,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Battlestar Galactica,1.99,Occupation / Precipice,Protected MPEG-4 video file,Sweden,10/01/2010 00:00
Battlestar Galactica,1.99,The Passage,Protected MPEG-4 video file,USA,31/07/2012 00:00
Battlestar Galactica,1.99,The Woman King,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Battlestar Galactica,1.99,The Woman King,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Battlestar Galactica,1.99,Unfinished Business,Protected MPEG-4 video file,Germany,23/04/2011 00:00
Battlestar Galactica (Classic),1.99,Baltar's Escape,Protected MPEG-4 video file,India,26/02/2010 00:00
Battlestar Galactica (Classic),1.99,"Battlestar Galactica, Pt. 1",Protected MPEG-4 video file,USA,28/09/2012 00:00
Battlestar Galactica (Classic),1.99,"Battlestar Galactica, Pt. 2",Protected MPEG-4 video file,France,19/06/2011 00:00
Battlestar Galactica (Classic),1.99,Experiment In Terra,Protected MPEG-4 video file,Brazil,11/03/2010 00:00
Battlestar Galactica (Classic),1.99,"Greetings from Earth, Pt. 1",Protected MPEG-4 video file,Portugal,01/10/2012 00:00
Battlestar Galactica (Classic),1.99,"Greetings from Earth, Pt. 2",Protected MPEG-4 video file,Netherlands,21/06/2011 00:00
Battlestar Galactica (Classic),1.99,"Lost Planet of the Gods, Pt. 1",Protected MPEG-4 video file,France,19/06/2011 00:00
Battlestar Galactica (Classic),1.99,"Lost Planet of the Gods, Pt. 2",Protected MPEG-4 video file,USA,28/09/2012 00:00
Battlestar Galactica (Classic),1.99,Take the Celestra,Protected MPEG-4 video file,Brazil,11/03/2010 00:00
Battlestar Galactica (Classic),1.99,"The Gun On Ice Planet Zero, Pt. 1",Protected MPEG-4 video file,Finland,20/06/2011 00:00
Battlestar Galactica (Classic),1.99,"The Gun On Ice Planet Zero, Pt. 2",Protected MPEG-4 video file,USA,28/09/2012 00:00
Battlestar Galactica (Classic),1.99,The Hand of God,Protected MPEG-4 video file,Netherlands,21/06/2011 00:00
Battlestar Galactica (Classic),1.99,"The Living Legend, Pt. 1",Protected MPEG-4 video file,Finland,20/06/2011 00:00
Battlestar Galactica (Classic),1.99,"The Living Legend, Pt. 2",Protected MPEG-4 video file,USA,28/09/2012 00:00
Battlestar Galactica (Classic),1.99,The Long Patrol,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
Battlestar Galactica (Classic),1.99,The Lost Warrior,Protected MPEG-4 video file,Finland,20/06/2011 00:00
Battlestar Galactica (Classic),1.99,The Magnificent Warriors,Protected MPEG-4 video file,Finland,20/06/2011 00:00
Battlestar Galactica (Classic),1.99,"War of the Gods, Pt. 2",Protected MPEG-4 video file,Netherlands,21/06/2011 00:00
